Name                                                                                      Stmts   Miss  Cover
-------------------------------------------------------------------------------------------------------------
/usr/lib/python3/dist-packages/_distutils_hack/__init__.py                                  100     95     5%
/usr/lib/python3/dist-packages/bcrypt/__about__.py                                           12      0   100%
/usr/lib/python3/dist-packages/bcrypt/__init__.py                                            56     41    27%
/usr/lib/python3/dist-packages/cryptography/__about__.py                                      5      0   100%
/usr/lib/python3/dist-packages/cryptography/__init__.py                                       3      0   100%
/usr/lib/python3/dist-packages/cryptography/exceptions.py                                    26      5    81%
/usr/lib/python3/dist-packages/cryptography/hazmat/__init__.py                                2      0   100%
/usr/lib/python3/dist-packages/cryptography/hazmat/_oid.py                                  126      0   100%
/usr/lib/python3/dist-packages/cryptography/hazmat/backends/__init__.py                       5      2    60%
/usr/lib/python3/dist-packages/cryptography/hazmat/bindings/__init__.py                       0      0   100%
/usr/lib/python3/dist-packages/cryptography/hazmat/primitives/__init__.py                     0      0   100%
/usr/lib/python3/dist-packages/cryptography/hazmat/primitives/_asymmetric.py                  6      0   100%
/usr/lib/python3/dist-packages/cryptography/hazmat/primitives/_cipheralgorithm.py            18      0   100%
/usr/lib/python3/dist-packages/cryptography/hazmat/primitives/_serialization.py              80     35    56%
/usr/lib/python3/dist-packages/cryptography/hazmat/primitives/asymmetric/__init__.py          0      0   100%
/usr/lib/python3/dist-packages/cryptography/hazmat/primitives/asymmetric/dh.py              118     47    60%
/usr/lib/python3/dist-packages/cryptography/hazmat/primitives/asymmetric/dsa.py             134     57    57%
/usr/lib/python3/dist-packages/cryptography/hazmat/primitives/asymmetric/ec.py              219     56    74%
/usr/lib/python3/dist-packages/cryptography/hazmat/primitives/asymmetric/ed448.py            45     12    73%
/usr/lib/python3/dist-packages/cryptography/hazmat/primitives/asymmetric/ed25519.py          45     12    73%
/usr/lib/python3/dist-packages/cryptography/hazmat/primitives/asymmetric/padding.py          47     20    57%
/usr/lib/python3/dist-packages/cryptography/hazmat/primitives/asymmetric/rsa.py             184    106    42%
/usr/lib/python3/dist-packages/cryptography/hazmat/primitives/asymmetric/types.py            19      0   100%
/usr/lib/python3/dist-packages/cryptography/hazmat/primitives/asymmetric/utils.py            14      5    64%
/usr/lib/python3/dist-packages/cryptography/hazmat/primitives/asymmetric/x448.py             43     12    72%
/usr/lib/python3/dist-packages/cryptography/hazmat/primitives/asymmetric/x25519.py           43     12    72%
/usr/lib/python3/dist-packages/cryptography/hazmat/primitives/ciphers/__init__.py             4      0   100%
/usr/lib/python3/dist-packages/cryptography/hazmat/primitives/ciphers/algorithms.py         129     35    73%
/usr/lib/python3/dist-packages/cryptography/hazmat/primitives/ciphers/base.py               138     79    43%
/usr/lib/python3/dist-packages/cryptography/hazmat/primitives/ciphers/modes.py              140     58    59%
/usr/lib/python3/dist-packages/cryptography/hazmat/primitives/hashes.py                     128     20    84%
/usr/lib/python3/dist-packages/cryptography/hazmat/primitives/serialization/__init__.py       5      0   100%
/usr/lib/python3/dist-packages/cryptography/hazmat/primitives/serialization/base.py          22     12    45%
/usr/lib/python3/dist-packages/cryptography/hazmat/primitives/serialization/ssh.py          761    607    20%
/usr/lib/python3/dist-packages/cryptography/utils.py                                         76     29    62%
backend/__init__.py                                                                           0      0   100%
backend/initializers/__init__.py                                                              0      0   100%
backend/initializers/database.py                                                              2      0   100%
backend/initializers/settings.py                                                             23      0   100%
backend/initializers/test_util.py                                                            11      8    27%
backend/managers/__init__.py                                                                  0      0   100%
backend/managers/admin.py                                                                    25      1    96%
backend/managers/admin_test.py                                                               47      2    96%
backend/managers/product.py                                                                 102     52    49%
backend/managers/product_test.py                                                             85      2    98%
backend/managers/token.py                                                                    13      3    77%
backend/managers/user.py                                                                    125     57    54%
backend/managers/user_test.py                                                                83      2    98%
backend/models/__init__.py                                                                    0      0   100%
backend/models/product.py                                                                    29      2    93%
backend/models/report.py                                                                     17      0   100%
backend/models/user.py                                                                       33      3    91%
-------------------------------------------------------------------------------------------------------------
TOTAL                                                                                      3348   1489    56%
